,Date,User,Tweet
41,2021-11-13 22:34:34+00:00,KMbappe,"DIRECTION LE QATAR 🇫🇷✈️🇶🇦

Soirée mémorable pour une qualification méritée. 
Une grosse pensée pour toutes les familles des victimes 13.11.15. 
Et aussi une grande fierté de rejoindre la légende J.Fontaine avec ce quadruplé. #KYLI4N https://t.co/njHbgWJBCN"
42,2021-11-12 18:51:42+00:00,KMbappe,@equipedefrance 🏡👋🏽
43,2021-11-12 18:51:25+00:00,KMbappe,@Farodessinateur Un grand merci à toi 😄
44,2021-11-04 15:20:47+00:00,KMbappe,😆😆😆 @nikefootball https://t.co/X8GDSN6800
45,2021-10-19 21:52:03+00:00,KMbappe,Top of the group. ❤️💙 @PSG_inside https://t.co/dks1BS8Bb0
46,2021-10-15 22:30:10+00:00,KMbappe,@PSG_inside JUANIIIIIIIIIITO 😍😍😍✊🏽
47,2021-10-10 21:58:14+00:00,KMbappe,"L’HISTOIRE CONTINUE DE S’ÉCRIRE… 
ALLEZ LES BLEUS 🇫🇷🏆👊🏽 https://t.co/wEIKvZTPRQ"
48,2021-10-07 21:04:43+00:00,KMbappe,"Une remontée qui restera, et une place en finale. 
Super travail de toute l’équipe.
Rendez-vous dimanche !!!!! 

ALLEZ LES BLEUS 🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷 https://t.co/0CVlBeRrgg"
49,2021-10-04 18:09:02+00:00,KMbappe,🇫🇷 https://t.co/hEuHk3O5nM
50,2021-10-03 09:32:39+00:00,KMbappe,"RIP à ce grand monsieur. 
Toutes mes condoléances à sa famille et ses proches. 🙏🏽🕊 https://t.co/WlDXUxaoC4"
51,2021-09-17 13:49:50+00:00,KMbappe,FIFA 22 😍😍😍 @EASPORTSFIFA https://t.co/VoQLlVEWk6
52,2021-09-13 19:14:37+00:00,KMbappe,"FIFA 17 -&gt; FIFA 22 💥 #FIFARatings 

@EASPORTSFIFA https://t.co/XVBEWlxnmA"
53,2021-08-12 12:32:14+00:00,KMbappe,"Welcome to Paris, Léo. 🔴🔵 https://t.co/ZDO11HSVOw"
54,2021-07-17 19:37:42+00:00,KMbappe,👀🌙💫… https://t.co/XjzzkowFUy
55,2021-07-15 20:38:34+00:00,KMbappe,👑x🤴🏽… @Ibra_official https://t.co/CTwGqmKD3W
56,2021-06-28 23:18:09+00:00,KMbappe,https://t.co/nMmGi7V4mP
57,2021-06-19 19:30:02+00:00,KMbappe,"Une admirable personne, avec qui j’ai eu la chance d’échanger. 
Un exemple pour tous.
Un amoureux du foot et de la vie. Une triste nouvelle. 
Reposes en paix mon Philou

😢🙏🏽🕊🙌🏽.... https://t.co/jWo64rPPvQ"
58,2021-06-15 21:24:42+00:00,KMbappe,Première victoire 🔥 https://t.co/oaGSOXKP6T
59,2021-05-25 15:23:26+00:00,KMbappe,💉💉💉... ✅ https://t.co/eZX0wncDYz
60,2021-05-23 18:45:10+00:00,KMbappe,"👑🥇🏆... 

@Ligue1UberEats @PSG_inside 
@UNFP https://t.co/rSfTVNTOlF"
61,2021-05-18 19:08:59+00:00,KMbappe,KB x KM 🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/72smmr87f2
62,2021-05-18 18:30:23+00:00,KMbappe,💙🤍❤️🙏🏽 @equipedefrance
63,2021-04-13 21:21:42+00:00,KMbappe,Demi-finale? Oui Oui !!! 🔴🔵 https://t.co/5EjupUe31e
64,2021-04-12 18:11:14+00:00,KMbappe,Ramadan Mubarak à tous les musulmans 🌙💛...
65,2021-04-07 22:32:42+00:00,KMbappe,❤️💙.... #FCBAYERNPSG https://t.co/oRsshfpPle
66,2021-03-11 11:28:27+00:00,KMbappe,🙌🏽🙏🏽... https://t.co/5wzwC67BQk
67,2021-03-10 22:13:42+00:00,KMbappe,"Quarter-final, here we come !!! https://t.co/Wo8P2ysjAi"
68,2021-02-27 22:32:36+00:00,KMbappe,"Aymen 
« Il n'y a pas d'au revoir pour nous. Peu importe où tu es, tu seras toujours dans le coeur des Bondynois. »
Repose en paix. 
Mes condoléances les plus sincères à ses proches. 
😢🕊🙏🏽"
69,2021-02-07 22:19:21+00:00,KMbappe,ICI C’EST PARIS ❤️💙... https://t.co/uuykSmnAbQ
70,2021-01-23 18:55:03+00:00,KMbappe,TOTY 🔥 @EASPORTSFIFA https://t.co/wvVaTHrCrs
71,2020-12-23 13:41:00+00:00,KMbappe,"Mourir pour avoir voulu sauver : Une violence inacceptable 
Ne laissons pas la violence gagner, quelle que soit sa forme. 

Mes condoléances aux familles des victimes.  

👮‍♂️🙏🏽🕊."
72,2020-12-08 22:09:38+00:00,KMbappe,"SAY NO TO RACISM.  ❌❌❌ 

M.WEBO WE ARE WITH YOU. ✊🏽"
73,2020-12-05 22:53:44+00:00,KMbappe,"100 buts pour le PSG. 
Un sentiment de fierté incroyable. 
Un grand merci à tous mes coéquipiers, le club, mes proches et bien sûr vous les fans pour votre soutien. 
ICI C’EST PARIS ❤️💙 @PSG_inside https://t.co/W48hA5VlfK"
74,2020-11-26 19:11:31+00:00,KMbappe,https://t.co/79qgdzdEBg
75,2020-11-25 16:58:31+00:00,KMbappe,"RIP Legend. 
 You will stay in the history of football forever. Thanks you for all the pleasure you gave to the whole world 🙌🏽🙏🏽❤️ 

AÏE AÏE AÏE F*CKING 2020 😭😭😭 https://t.co/8xc1CDKDg2"
76,2020-11-21 16:30:13+00:00,KMbappe,😍😍😍 https://t.co/uIgat98AqV
